"date","hub_id","product_id","quantity_issued"
2017 Nov,"hub_1","product_4",15
2017 Nov,"hub_1","product_5",161
2017 Nov,"hub_1","product_6",46510
2017 Nov,"hub_1","product_7",54
2017 Nov,"hub_3","product_1",3008
2017 Nov,"hub_3","product_2",39
2017 Nov,"hub_3","product_3",350
2017 Nov,"hub_3","product_4",5754
2017 Nov,"hub_3","product_5",4320
2017 Nov,"hub_3","product_6",53092
2017 Nov,"hub_3","product_7",710
2017 Nov,"hub_4","product_1",59
2017 Nov,"hub_4","product_3",4
2017 Nov,"hub_4","product_4",1068
2017 Nov,"hub_4","product_5",2442
2017 Nov,"hub_4","product_6",27300
2017 Nov,"hub_4","product_7",9
2017 Nov,"hub_5","product_1",323
2017 Nov,"hub_5","product_2",2300
2017 Nov,"hub_5","product_3",42
2017 Nov,"hub_5","product_4",2729
2017 Nov,"hub_5","product_5",1501
2017 Nov,"hub_5","product_6",17598
2017 Nov,"hub_6","product_1",1081
2017 Nov,"hub_6","product_2",1431
2017 Nov,"hub_6","product_3",25
2017 Nov,"hub_6","product_4",8002
2017 Nov,"hub_6","product_5",4845
2017 Nov,"hub_6","product_6",134484
2017 Nov,"hub_6","product_7",41
2017 Nov,"hub_7","product_1",2328
2017 Nov,"hub_7","product_2",1240
2017 Nov,"hub_7","product_3",226
2017 Nov,"hub_7","product_4",6624
2017 Nov,"hub_7","product_6",103557
2017 Nov,"hub_7","product_7",115
2017 Nov,"hub_8","product_1",2016
2017 Nov,"hub_8","product_2",860
2017 Nov,"hub_8","product_3",49
2017 Nov,"hub_8","product_4",2831
2017 Nov,"hub_8","product_5",7326
2017 Nov,"hub_8","product_6",28384
2017 Nov,"hub_8","product_7",175
2017 Nov,"hub_9","product_1",260
2017 Nov,"hub_9","product_2",30
2017 Nov,"hub_9","product_4",1880
2017 Nov,"hub_9","product_5",1733
2017 Nov,"hub_9","product_6",93010
2017 Nov,"hub_9","product_7",4
2017 Nov,"hub_10","product_1",759
2017 Nov,"hub_10","product_2",5
2017 Nov,"hub_10","product_3",42
2017 Nov,"hub_10","product_4",4464
2017 Nov,"hub_10","product_5",5659
2017 Nov,"hub_10","product_6",90508
2017 Nov,"hub_11","product_1",3498
2017 Nov,"hub_11","product_2",61
2017 Nov,"hub_11","product_3",44
2017 Nov,"hub_11","product_4",4157
2017 Nov,"hub_11","product_5",5832
2017 Nov,"hub_11","product_6",44740
2017 Nov,"hub_11","product_7",492
2017 Nov,"hub_12","product_1",200
2017 Nov,"hub_12","product_7",500
2017 Nov,"hub_13","product_1",165
2017 Nov,"hub_13","product_2",100
2017 Nov,"hub_13","product_3",25
2017 Nov,"hub_13","product_4",950
2017 Nov,"hub_13","product_5",1537
2017 Nov,"hub_13","product_6",950
2017 Nov,"hub_13","product_7",100
2017 Nov,"hub_14","product_1",1226
2017 Nov,"hub_14","product_2",3100
2017 Nov,"hub_14","product_3",20
2017 Nov,"hub_14","product_4",5154
2017 Nov,"hub_14","product_6",74880
2017 Nov,"hub_14","product_7",248
2017 Nov,"hub_15","product_1",439
2017 Nov,"hub_15","product_2",400
2017 Nov,"hub_15","product_4",213
2017 Nov,"hub_15","product_5",1638
2017 Nov,"hub_15","product_6",13100
2017 Nov,"hub_15","product_7",170
2017 Nov,"hub_16","product_1",793
2017 Nov,"hub_16","product_2",1400
2017 Nov,"hub_16","product_3",10
2017 Nov,"hub_16","product_4",1470
2017 Nov,"hub_16","product_6",27600
2017 Nov,"hub_16","product_7",20
2017 Nov,"hub_17","product_1",394
2017 Nov,"hub_17","product_2",3521
2017 Nov,"hub_17","product_3",101
2017 Nov,"hub_17","product_4",5601
2017 Nov,"hub_17","product_5",2951
2017 Nov,"hub_17","product_6",46766
2017 Nov,"hub_17","product_7",575
2017 Nov,"hub_18","product_1",5
2017 Nov,"hub_18","product_6",150
2017 Nov,"hub_19","product_1",2229
2017 Nov,"hub_19","product_2",148
2017 Nov,"hub_19","product_3",437
2017 Nov,"hub_19","product_4",1304
2017 Nov,"hub_19","product_5",477
2017 Nov,"hub_19","product_6",18125
2017 Nov,"hub_19","product_7",53
2017 Dec,"hub_1","product_1",314
2017 Dec,"hub_1","product_2",2305
2017 Dec,"hub_1","product_3",53
2017 Dec,"hub_1","product_4",1905
2017 Dec,"hub_1","product_5",5316
2017 Dec,"hub_1","product_6",37456
2017 Dec,"hub_1","product_7",132
2017 Dec,"hub_3","product_1",9105
2017 Dec,"hub_3","product_2",34
2017 Dec,"hub_3","product_3",315
2017 Dec,"hub_3","product_4",5666
2017 Dec,"hub_3","product_5",1288
2017 Dec,"hub_3","product_6",54080
2017 Dec,"hub_4","product_1",14700
2017 Dec,"hub_4","product_4",782
2017 Dec,"hub_4","product_5",1935
2017 Dec,"hub_4","product_6",22550
2017 Dec,"hub_4","product_7",83
2017 Dec,"hub_5","product_1",168
2017 Dec,"hub_5","product_2",900
2017 Dec,"hub_5","product_3",28
2017 Dec,"hub_5","product_4",2530
2017 Dec,"hub_5","product_5",1642
2017 Dec,"hub_5","product_6",15852
