"date","hub_id","product_id","quantity_issued"
2018 Dec,"hub_14","product_5",9490
2019 Jan,"hub_14","product_5",7231
2019 Feb,"hub_14","product_5",9450
2019 Mar,"hub_14","product_5",9779
2019 Apr,"hub_14","product_5",13696
2019 May,"hub_14","product_5",14179
2019 Jun,"hub_14","product_5",18707
2019 Jul,"hub_14","product_5",7275
2019 Aug,"hub_14","product_5",5347
2019 Sep,"hub_14","product_5",7020
2019 Oct,"hub_14","product_5",4693
2019 Nov,"hub_14","product_5",5421
2019 Dec,"hub_14","product_5",2000
2020 Jan,"hub_14","product_5",8059
2020 Feb,"hub_14","product_5",5155
2020 Mar,"hub_14","product_5",12884
2020 Apr,"hub_14","product_5",9068
2020 May,"hub_14","product_5",9463
2020 Jun,"hub_14","product_5",15566
2020 Jul,"hub_14","product_5",8670
2020 Aug,"hub_14","product_5",10785
2020 Sep,"hub_14","product_5",12005
2020 Oct,"hub_14","product_5",2742
2020 Nov,"hub_14","product_5",6342
2020 Dec,"hub_14","product_5",6936
2021 Jan,"hub_14","product_5",5966
2021 Feb,"hub_14","product_5",6441
2021 Mar,"hub_14","product_5",3765
2021 Apr,"hub_14","product_5",6396
2021 May,"hub_14","product_5",5348
2021 Jun,"hub_14","product_5",8316
2021 Jul,"hub_14","product_5",5176
2021 Aug,"hub_14","product_5",15548
2021 Sep,"hub_14","product_5",15726
2021 Oct,"hub_14","product_5",15764
2021 Nov,"hub_14","product_5",13768
2021 Dec,"hub_14","product_5",16083
2022 Jan,"hub_14","product_5",22014
2022 Feb,"hub_14","product_5",9604
2022 Mar,"hub_14","product_5",11622
2022 Apr,"hub_14","product_5",357
2022 May,"hub_14","product_5",1586
2022 Jun,"hub_14","product_5",11483
2022 Jul,"hub_14","product_5",4171
2022 Aug,"hub_14","product_5",21154
2022 Sep,"hub_14","product_5",24385
2022 Oct,"hub_14","product_5",17424
2022 Nov,"hub_14","product_5",22755
2022 Dec,"hub_14","product_5",15217
2023 Jan,"hub_14","product_5",14621
2023 Feb,"hub_14","product_5",33434
2023 Mar,"hub_14","product_5",46776
2023 Apr,"hub_14","product_5",33835
